_id,_importdate,收容所編號,名稱,縣市,郵遞區號,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,lat,lon
1,2025-06-16 17:45:56.935378,SA100-0002,臺北市立螢橋國民中學,臺北市,100,中正區,林興里,汀州路三段四號,學校,Y,備用,N,N,Y,Y,Y,N,板溪里、網溪里、螢圃里、林興里、河堤里、頂東里、文盛里、富水里、水源里,52,209,黃君宜,02-23688667#500,陳錦謀,02-23688667#100,,25.0193319,121.5262566
2,2025-06-16 17:45:56.947934,SA100-0003,臺北市立大學附設實驗國民小學,臺北市,100,中正區,黎明里,公園路29號,學校,Y,Y,N,N,Y,Y,Y,N,黎明里、建國里、新營里、龍福里,157,1062,羅傑,02-23110395#840,吳家瑞,02-23110395#800,,25.0363239,121.5152926
3,2025-06-16 17:45:56.950020,SA100-0004,臺北市立弘道國民中學,臺北市,100,中正區,建國里,公園路21號,學校,Y,Y,N,N,Y,Y,Y,N,光復里、建國里、黎明里、東門里、龍福里、幸福里、文北里,130,520,曾正一,02-23715520#500,唐廷俊,02-23715520#100,,25.0375358,121.5153138
4,2025-06-16 17:45:56.951555,SA100-0005,二二八和平公園,臺北市,100,中正區,黎明里,凱達格蘭大道3號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,5424,21696,陳煌耀,02-23032451,陳煌耀,02-23032451,,25.0402885,121.5156071
5,2025-06-16 17:45:56.952973,SA100-0006,臺北市中正運動中心,臺北市,100,中正區,東門里,信義路一段1號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,東門里、文祥里、三愛里、文北里,250,2457.96,陳泓維,02-25702330#6425,陳凱頻,02-25702330#6425,,25.0383595,121.5193255
6,2025-06-16 17:45:56.954300,SA100-0007,臺北市立中正國民中學,臺北市,100,中正區,新營里,愛國東路158號,學校,Y,備用,N,N,Y,Y,Y,N,新營里、文祥里、文北里、南福里,300,1800,蔡宜芬,02-23916697#501,林泰安,02-23916697#101,,25.0323241,121.5220997
7,2025-06-16 17:45:56.955494,SA100-0008,臺北市立第一女子高級中學,臺北市,100,中正區,建國里,重慶南路一段165號,學校,Y,備用,N,N,Y,Y,Y,N,光復里、黎明里、建國里,60,500,賴祝宏,02-23820484#600,陳智源,02-23820484#200,,25.0404898,121.5129822
8,2025-06-16 17:45:56.956797,SA100-0009,臺北市立古亭國民中學,臺北市,100,中正區,永功里,中華路二段465號,學校,Y,備用,N,N,Y,Y,Y,N,永昌里、螢雪里、永功里、忠勤里、龍興里,60,1200,顏錦江,02-23090986#510,莊豐兆,02-23090986#101,,25.0246402,121.5106049
9,2025-06-16 17:45:56.958087,SA100-0010,臺北市立成功高級中學,臺北市,100,中正區,幸福里,濟南路一段71號,學校,Y,備用,N,N,Y,Y,Y,N,幸福里、文北里,31,300,連育賢,23216256#231,劉晶晶,23216256#201,,25.0433029,121.5189775
10,2025-06-16 17:45:56.959532,SA100-0011,臺北市中正區忠孝國民小學,臺北市,100,中正區,梅花里,忠孝東路二段101號,學校,N,備用,N,N,Y,Y,Y,N,幸福里、幸市里、梅花里,30,54,宋志倫,02-23918170#831,李亦欣,02-23918170#800,,25.0428773,121.5315887
12,2025-06-16 17:45:56.962192,SA100-0013,臺北市中正區河堤國民小學,臺北市,100,中正區,河堤里,汀州路二段180號,學校,Y,備用,N,N,Y,Y,Y,N,河堤里、頂東里、板溪里、網溪里、螢圃里,72,216,陳昱至,02-23677144#831,楊淑惠,02-23677144#888,,25.0232513,121.5226566
13,2025-06-16 17:45:56.963393,SA100-0014,臺北市中正區南門國民小學,臺北市,100,中正區,南門里,廣州街6號,學校,Y,備用,N,N,Y,Y,Y,N,愛國里、南門里、廈安里,30,100,鄭志祥,02-23715052#401,李嗣蕙,02-23753225,,25.0352067,121.5090968
14,2025-06-16 17:45:56.964659,SA100-0015,臺北市立南門國民中學,臺北市,100,中正區,南門里,廣州街6號,學校,Y,備用,N,N,Y,Y,Y,N,南門里、愛國里、龍光里、龍興里、南福里、永功里、廈安里、龍福里,151,1512,楊鈞媛,02-23142775#361,劉增銘,02-23142775#328,,25.0352067,121.5090968
15,2025-06-16 17:45:56.966146,SA100-0016,臺北市立建國高級中學,臺北市,100,中正區,龍光里,南海路56號,學校,N,備用,N,N,Y,Y,Y,N,龍光里、龍興里、南福里,300,2609,張佑頴,02-23034381#501,莊智鈞,02-23034381#101,,25.0312597,121.5121323
16,2025-06-16 17:45:56.967468,SA100-0017,臺北市國語實驗國民小學,臺北市,100,中正區,龍光里,南海路58號,學校,N,備用,N,N,Y,Y,Y,N,龍光里、龍興里、廈安里、龍福里、永功里,49,1442.23,許詩玉,02-23033555#500,吳智亭,02-23033555#100,,25.0309704,121.5109777
17,2025-06-16 17:45:56.968901,SA100-0018,臺北市中正區螢橋國民小學,臺北市,100,中正區,螢雪里,詔安街29號,學校,Y,備用,N,N,Y,Y,Y,N,螢雪里、永功里、永昌里、南福里、螢圃里,303,500,賴維政,02-23054620#109,莊訪祺,02-23054620#100,,25.0249239,121.5144334
21,2025-06-16 17:45:56.973923,SA100-0022,臺北市市場處光華數位新天地商場地下停車場,臺北市,100,中正區,梅花里,臺北市中正區市民大道三段8號,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,375,1500,市場處市場科蘇育正,02-2550-5220#2148,市場處市場科蘇育正,02-2550-5220#2148,,25.0452023,121.5321145
23,2025-06-16 17:45:56.976266,SA100-0024,臺北市忠義實驗國民小學,臺北市,100,中正區,忠勤里,臺北市中正區中華路二段307巷17號,學校,N,備用,N,N,N,Y,Y,N,忠勤里,50,200,黃顯欽,02-23038752#231,張家瑜,02-23038752#280,,25.0300203,121.5052493
24,2025-06-16 17:45:56.977677,SA100-0025,臺北市立圖書館王貫英紀念館,臺北市,100,中正區,頂東里,臺北市中正區汀州路二段265號,圖書館,N,N,N,N,Y,Y,Y,N,頂東里,256,1024,分館主任：姜民,02-23678734,分館主任：姜民,02-23678734,,25.0226255,121.5237204
26,2025-06-16 17:45:56.980352,SA103-0001,臺北市大同區延平國小,臺北市,111,大同區,國慶里,昌吉街97號,學校,Y,備用,N,N,Y,Y,Y,N,國順里、鄰江里、國慶里、隆和里、隆和里,88,352,劉郁芬,02-25942439#630,陳清義,02-25942439#666,,25.0660116,121.5123609
27,2025-06-16 17:45:56.981637,"SA103-0002
",臺北市立重慶國民中學,臺北市,111,大同區,重慶里,敦煌路19號,學校,Y,備用,N,N,Y,Y,Y,N,重慶里、保安里、老師里,50,189,黃順盈,02-25948631#240,林淑君,02-25948631#210,,25.0750014,121.5182594
28,2025-06-16 17:45:56.982918,SA103-0003,臺北市立忠孝國民中學,臺北市,111,大同區,玉泉里,西寧北路32號,學校,N,Y,N,N,Y,Y,Y,N,延平里、永樂里、玉泉里、朝陽里、大有里,131,525,江長山,02-25524890#71,郭姿秀,02-25524890#11,,25.0512101,121.5082541
30,2025-06-16 17:45:56.986259,SA103-0005,玉泉公園,臺北市,111,大同區,玉泉里,西寜北路28號,公園/綠地,N,Y,N,N,N,Y,N,Y,全區,1993,7972,謝榮倫,02-25850192,楊國瑜,02-25850192#201,,25.0497675,121.5077604
31,2025-06-16 17:45:56.987605,SA103-0006,臺北市大同運動中心,臺北市,111,大同區,蓬萊里,大龍街51號,體育場館/運動中心,Y,備用,N,N,Y,Y,Y,N,蓬萊里、斯文里、揚雅里、隆和里、民權里,300,1601.69,陳泓維,02-2592-0055#820,楊子豪,02-2570-2330#6458,,25.0647728,121.5161006
32,2025-06-16 17:45:56.988875,SA103-0007,臺北市大同區大同國民小學,臺北市,111,大同區,蓬萊里,大龍街51號,學校,Y,備用,N,N,Y,Y,Y,N,蓬萊里、斯文里、揚雅里,40,189,黃善美,02-25965407#351,許政智,02-25965407#358,,25.0647728,121.5161006
33,2025-06-16 17:45:56.990202,SA103-0008,臺北市大同區大橋國民小學,臺北市,111,大同區,隆和里,重慶北路三段2號,學校,N,備用,N,N,Y,Y,Y,N,景星里、隆和里,196,782,簡琡真,02-25944413#145,陳曉慧,02-25944413#101,,25.071225,121.5133699
34,2025-06-16 17:45:56.991383,SA103-0009,臺北市大同區大龍國民小學,臺北市,111,大同區,保安里,哈密街47號,學校,Y,備用,N,N,Y,Y,Y,N,老師里、重慶里、保安里、至聖里,208,833,許乃文,02-25942635#838,劉國兆,02-25942635#888,,25.0734057,121.5167291
35,2025-06-16 17:45:56.992561,SA103-0010,臺北市大同區太平國民小學,臺北市,111,大同區,南芳里,延平北路二段239號,學校,N,備用,N,N,Y,Y,Y,N,延平里、朝陽里、南芳里、永樂里、玉泉里、建功里、建功里,123,728,江信億,02-25532229#830,陳智蕾,02-25532229#801,,25.0613838,121.5116558
36,2025-06-16 17:45:56.993970,SA103-0011,臺北市大同區日新國民小學,臺北市,111,大同區,星明里,太原路151號,學校,Y,備用,N,N,Y,Y,Y,N,建泰里、建明里、光能里、星明里、建功里,137,23468.19,王勝威,02-25584819#312,林裕勝,02-25584819#120,,25.0543981,121.5165073
37,2025-06-16 17:45:56.995417,SA103-0012,臺北市立民權國民中學,臺北市,111,大同區,隆和里,重慶北路三段1號,學校,N,備用,N,N,Y,Y,Y,N,景星里、蓬萊里、隆和里、南芳里、大有里、民權里、國順里,30,288,蔡孟谷,02-25931951#130,徐雅鐘,02-25931951#168,,25.0713232,121.5133842
38,2025-06-16 17:45:56.996845,SA103-0013,臺北市大同區永樂國民小學,臺北市,111,大同區,南芳里,延平北路二段266號,學校,N,備用,N,N,Y,Y,Y,N,大有里、永樂里、南芳里、玉泉里,304,530,許芳瑜,02-25534882#402,林献原,02-25534882#401,,25.0616849,121.5111209
39,2025-06-16 17:45:56.998354,SA103-0014,臺北市立成淵高級中學,臺北市,111,大同區,民權里,承德路二段235號,學校,Y,備用,N,N,Y,Y,Y,N,光能里、雙連里、星明里、民權里,487,1946.45,黃鼎元,02-25531969#150,劉葳蕤,02-25531969#100,,25.0612369,121.5185786
40,2025-06-16 17:45:56.999803,SA103-0015,臺北市大同區明倫高級中學,臺北市,111,大同區,重慶里,承德路三段336號,學校,Y,備用,N,N,Y,Y,Y,N,重慶里、老師里,70,910,林銘宗,02-25961567#151,洪金英,02-25961567#101,,25.0755335,121.519898
41,2025-06-16 17:45:57.001236,SA103-0016,臺北市大同區蓬萊國民小學,臺北市,111,大同區,星明里,寧夏路35號,學校,Y,備用,N,N,Y,Y,Y,N,光能里、建功里、雙連里、星明里、朝陽里,104,1041.12,張沛森,02-25569835#500,尚漢鼎,02-25569835#660,,25.0565443,121.5155981
42,2025-06-16 17:45:57.002689,SA103-0017,臺北市大同區雙蓮國民小學,臺北市,111,大同區,民權里,錦西街51號,學校,Y,備用,N,N,Y,Y,Y,N,雙連里、民權里,300,1133,吳希哲,02-25570309#1031,張素花,02-25570309#1001,,25.0601097,121.5166591
43,2025-06-16 17:45:57.004077,SA103-0018,臺北市立蘭州國民中學,臺北市,111,大同區,至聖里,大龍街187巷1號,學校,N,備用,N,N,Y,N,Y,N,至聖里、國慶里、國順里、斯文里、揚雅里、鄰江里、老師里、保安里,34,12000,簡聰敏,02-25918269#500,黃偉鵑,02-25918269#168,,25.0693032,121.5167623
46,2025-06-16 17:45:57.008731,SA103-0021,臺北市市場處大龍市場地下停車場,臺北市,111,大同區,重慶里,臺北市大同區重慶北路三段347號,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,2356,1035,市場處市場科林意潔,02-2550-5220#2146,市場處市場科林意潔,02-2550-5220#2146,,25.0747858,121.5140822
48,2025-06-16 17:45:57.011843,SA103-0023,臺北市立圖書館大同分館,臺北市,111,大同區,老師里,臺北市大同區重慶北路三段318號,圖書館,Y,N,N,N,Y,Y,Y,N,全區,138,552,分館主任：莊正德,02-25943236,分館主任：莊正德,02-25943236,,25.0742786,121.5135712
51,2025-06-16 17:45:57.016395,SA103-0026,臺北轉運站,臺北市,111,大同區,建明里,臺北市大同區市民大道1段209號,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1125,4500,王旻敬,02-77335888#3269,張俊祥,02-77335888#3234,,25.0488694,121.5183745
52,2025-06-16 17:45:57.017798,SA104-0001,臺北市立新興國民中學,臺北市,104,中山區,聚葉里,林森北路511號,學校,Y,Y,N,N,Y,Y,Y,N,集英里、恆安里、新生里、新庄里、新福里、聚盛里、聚葉里、中庄里、康樂里、中山里、中原里、新喜里、晴光里、劍潭里,156,624,張庭芳,02-25714211#501,詹琦斌,02-25714211#101,,25.0620548,121.5257862
53,2025-06-16 17:45:57.019216,SA104-0002,臺北市立五常國民中學,臺北市,104,中山區,下埤里,復興北路430巷1號,學校,Y,Y,Y,N,Y,Y,Y,N,下埤里、行政里、行孝里、行仁里,247,1023,黃奕綺,02-25014320#118,林竺諼,02-25014320#311,,25.0634908,121.5431325
54,2025-06-16 17:45:57.020807,SA104-0003,臺北市中山區中山國民小學,臺北市,104,中山區,恆安里,民權東路一段69號,學校,Y,備用,N,N,Y,Y,Y,N,聚葉里、聚盛里、恆安里、晴光里、新庄里、新生里、新喜里、圓山里、新福里、劍潭里,216,864,謝慶順,02-25914085#8031,翁明達,02-25914085#8010,,25.0629054,121.5263337
55,2025-06-16 17:45:57.022525,SA104-0004,榮星花園公園,臺北市,104,中山區,行仁里,民權東路三段1號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,3464,65192,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,25.0621399,121.5379184
57,2025-06-16 17:45:57.025489,SA104-0006,臺北市中山運動中心,臺北市,104,中山區,民安里,中山北路二段44巷2號,體育場館/運動中心,N,備用,N,N,Y,N,Y,N,集英里、聚葉里、聚盛里、圓山里,184,1257.21,楊景棠,02-2581-1060#221,丁鳳儀,02-2570-2330#6467,,25.0548001,121.5215657
58,2025-06-16 17:45:57.026921,SA104-0007,新生公園棒球場,臺北市,104,中山區,新庄里,新生北路三段105號,體育場館/運動中心,N,備用,N,N,Y,N,N,Y,恆安里、晴光里、圓山里、新庄里、新喜里、新福里、大佳里,60,388.41,陳筱宜,02-25702330#6504,陳筱宜,02-25702330#6504,,25.0702356,121.5287646
59,2025-06-16 17:45:57.028355,SA104-0008,臺北市立大同高級中學,臺北市,104,中山區,中央里,長春路167號,學校,N,備用,N,N,Y,Y,Y,N,中吉里、中央里、朱馥里、松江里、復華里,300,1905,吳榮達,02-25054269#130,柯明樹,02-25054269#102,,25.0549629,121.5351115
60,2025-06-16 17:45:57.029841,SA104-0009,臺北市中山區大佳國民小學,臺北市,104,中山區,大佳里,濱江街107號,學校,Y,備用,N,N,Y,Y,Y,N,大佳里,30,120,張云生,02-25035816#170,林光媚,02-25035816#100,,25.073314,121.5359409
61,2025-06-16 17:45:57.031414,SA104-0010,臺北市立大直高級中學,臺北市,104,中山區,劍潭里,北安路420號,學校,Y,備用,N,N,Y,Y,Y,N,劍潭里、大直里、大佳里、北安里、成功里、永安里、正得里,300,1800,陳為邦,02-25334017#141,林湧順,02-25334017#111,,25.0794426,121.5428692
62,2025-06-16 17:45:57.032951,SA104-0011,臺北市中山區大直國民小學,臺北市,104,中山區,大直里,大直街2號,學校,N,備用,N,N,Y,Y,Y,N,大直里、劍潭里、永安里,263,1554.41,鄭凱遙,02-25333953#35,林淑華,02-25333953#66,,25.0807034,121.5468555
63,2025-06-16 17:45:57.034410,SA104-0013,臺北市中山區中正國民小學,臺北市,104,中山區,力行里,龍江路62號,學校,N,備用,N,N,Y,Y,Y,N,朱崙里、力行里、朱園里、復華里,250,560,吳思穎,02-25070932#131,黃維瑜,02-25070932#100,,25.0505843,121.5402721
64,2025-06-16 17:45:57.035954,SA104-0014,臺北市立五常國民小學,臺北市,104,中山區,下埤里,五常街16號,學校,Y,備用,N,N,Y,Y,Y,N,下埤里、行政里、行仁里、行孝里、江寧里、江山里,372,962,陳錦如,02-25023416#831,曹曉文,02-25023416#888,,25.064197,121.5422533
65,2025-06-16 17:45:57.037346,SA104-0015,臺北市中山區北安國民中學,臺北市,104,中山區,劍潭里,明水路325號,學校,Y,備用,N,N,Y,Y,Y,N,圓山里、劍潭里、正得里、大直里、大佳里、永安里、新喜里、晴光里,30,492.1,陳思穎,02-25333888#240,陳玫良,02-2533-3888#210,,25.0777985,121.5416435
67,2025-06-16 17:45:57.040443,SA104-0017,臺北市中山區吉林國民小學,臺北市,104,中山區,中原里,長春路116號,學校,Y,備用,N,N,Y,Y,Y,N,康樂里、中山里、中吉里、中原里、中庄里。,313,356,殷必蕙,02-25219196#850,郭瑞芬,02-25219196#888,,25.0546796,121.5296287
68,2025-06-16 17:45:57.041974,SA104-0018,臺北市中山區長安國民小學,臺北市,104,中山區,興亞里,吉林路15號,學校,Y,備用,N,N,Y,Y,Y,N,正守里、正義里、正得里、興亞里、朱園里、民安里、中吉里,600,810,余芊瑢,02-25617600#130,嚴淑珠,02-25617600#100,,25.04977,121.5301757
69,2025-06-16 17:45:57.043328,SA104-0019,臺北市立長安國民中學,臺北市,104,中山區,興亞里,松江路70巷11號,學校,Y,備用,N,N,Y,Y,Y,N,力行里、朱崙里、朱園里、興亞里、正義里、正守里、中原里、埤頭里,41,234,張吉元,02-25112382#501,歐陽秀幸,02-25112382#101,,25.0494239,121.531917
70,2025-06-16 17:45:57.044653,"SA104-0020
",臺北市中山區長春國民小學,臺北市,104,中山區,中央里,長春路165號,學校,N,備用,N,N,Y,N,Y,N,朱馥里、龍洲里、松江里、中央里、復華里、江山里、江寧里,47,635.55,賴冠今,02-25024366#151,李奕寬,02-25024366#101,,25.0549245,121.533886
71,2025-06-16 17:45:57.046312,SA104-0021,臺北市中山區濱江國民小學,臺北市,104,中山區,金泰里,樂群二路266巷99號,學校,Y,備用,N,N,Y,Y,Y,N,金泰里、成功里,114,3750,吳士愷,02-85021571#1400,吳勝學,02-85021571#1000,,25.0773038,121.5616921
72,2025-06-16 17:45:57.047904,SA104-0022,臺北市濱江實驗國民中學,臺北市,104,中山區,金泰里,樂群二路262號,學校,Y,備用,N,N,Y,Y,Y,N,金泰里、北安里、成功里、永安里,100,5626,楊景良,02-85020126#401,陳昫姮,02-85020126#102,,25.0795886,121.5607246
73,2025-06-16 17:45:57.049534,SA104-0023,臺北市中山區懷生國民小學,臺北市,104,中山區,埤頭里,安東街16巷2號,學校,Y,備用,N,N,Y,Y,Y,N,埤頭里,30,63,林采眉,02-27710846#801,黃淑茹,02-27710846#100,,25.0454666,121.540566
79,2025-06-16 17:45:57.057948,SA104-0042,臺北市立中山女子高級中學,臺北市,104,中山區,力行里,長安東路二段141號,學校,Y,備用,N,N,Y,Y,Y,N,朱園里、埤頭里、朱崙里、力行里、復華里,135,1325,黃冠瑋,02-25073148#500,張云棻,02-25073148#100,,25.0484937,121.5371697
84,2025-06-16 17:45:57.064827,SA104-0047,臺北市立美術館,臺北市,104,中山區,圓山里,臺北市中山區中山北路181號,藝術中心,N,N,N,N,Y,Y,Y,Y,圓山里,366,1465.34,洪晧源約僱技士,02-25957656#514,洪晧源約僱技士,02-25957656#514,,25.0551566,121.5406918
88,2025-06-16 17:45:57.070259,SA104-0051,臺北市市場處臺北市第二果菜市場,臺北市,104,中山區,行孝里,臺北市中山區民族東路336號,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,5063,20568,市場處批發科陳靖芯,02-2550-5220#2208,農產公司 楊鎮浯,02-2516-0028,,25.0679242,121.5373819
89,2025-06-16 17:45:57.071564,SA105-0001,臺北市立民生國民中學,臺北市,105,松山區,新東里,新東街30巷1號,學校,Y,Y,N,N,Y,Y,Y,N,三民里、莊敬里、富錦里、富泰里、新東里、新益里,161,644,陳梅芬,02-27653433#300,高敏慧,02-27653433#111,活動中心3樓,25.0598236,121.567348
90,2025-06-16 17:45:57.072904,SA105-0002,臺北市松山區三民國民小學,臺北市,105,松山區,莊敬里,民權東路五段1號,學校,Y,Y,N,N,Y,Y,Y,N,莊敬里、新益里、富錦里、新東里,140,558.6,官聖政,02-27646080#231,羅永治,02-27646080#299,,25.0632706,121.5642981
91,2025-06-16 17:45:57.074136,SA105-0003,臺北市立敦化國民中學,臺北市,105,松山區,中正里,南京東路三段300號,學校,Y,備用,N,N,Y,Y,Y,N,中華里、中正里、中崙里、吉仁里、美仁里、福成里、敦化里、復源里、松基里、復建里,253,1012,鄭忠興,02-87717890#250,周婉琦,02-87717890#611,活動中心4樓,25.0515345,121.5467904
92,2025-06-16 17:45:57.075523,SA105-0004,臺北市松山區民生國民小學,臺北市,105,松山區,中華里,敦化北路199巷18號,學校,Y,備用,N,N,Y,Y,Y,N,龍田里、東勢里、東昌里、中華里、介壽里、精忠里,126,504,苗振華,02-27122452#830,楊玲珠,02-27122452#880,,25.0564905,121.5520527
94,2025-06-16 17:45:57.078092,SA105-0006,臺北市松山運動中心,臺北市,105,松山區,中正里,敦化北路1號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,美仁里、中正里、中華里、敦化里,180,1797,賴威志,02-6617-6789#218,楊孔仁,02-2570-2330#6429,,25.0652617,121.5526573
95,2025-06-16 17:45:57.079369,SA105-0007,臺北田徑場,臺北市,105,松山區,中正里,敦化北路3號,體育場館/運動中心,Y,備用,N,N,Y,N,N,Y,美仁里、中正里、中華里、敦化里、東勢里,440,1760,黄建涵,02-25702330#6541,黄建涵,02-25702330#6541,,25.0669692,121.5545103
96,2025-06-16 17:45:57.080515,SA105-0008,臺北體育館,臺北市,105,松山區,中正里,南京東路四段10號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,美仁里、中正里、中華里、敦化里、復建里、東勢里、復勢里,1000,4000,李坊勻,02-25702330#6552,李坊勻,02-25702330#6552,,25.0512838,121.5519556
